Definitive Addition,
0,0.04
3.14159265,5.824517147
6.28318531,11.6498927
9.42477796,17.42483859
12.56637061,23.2248789
15.70796327,29.12498927
18.84955592,34.79996408
21.99114858,40.4499691
25.13274123,46.09997289
28.27433388,51.72499396
31.41592654,57.07499452
34.55751919,62.54998002
37.69911184,67.77499539
40.84070450,73.14998291
43.98229715,77.02
47.1238898,87.46
53.40707511,93.8441049
56.54866776,105.8
59.69026042,120.3
62.83185307,128.5
65.97344573,138.5
69.11503838,145
72.25663103,150.5
