d2.5_l10,,d3_l10,,d3.5_l10,,d4_l10,
Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB)
20.141602,51.666,20.141602,51.602,20.141602,51.072,20.141602,50.73
20.507812,52.121,20.507812,51.955,20.507812,51.441,20.507812,51.048
20.874023,52.546,20.874023,52.331,20.874023,51.876,20.874023,51.414
21.240234,52.914,21.240234,52.712,21.240234,52.346,21.240234,51.839
21.606445,53.27,21.606445,53.097,21.606445,52.8,21.606445,52.314
21.972656,53.653,21.972656,53.474,21.972656,53.181,21.972656,52.785
22.338867,54.069,22.338867,53.835,22.338867,53.467,22.338867,53.198
22.705078,54.491,22.705078,54.19,22.705078,53.691,22.705078,53.545
23.071289,54.89,23.071289,54.564,23.071289,53.927,23.071289,53.865
23.4375,55.256,23.4375,54.981,23.4375,54.231,23.4375,54.215
23.803711,55.611,23.803711,55.435,23.803711,54.599,23.803711,54.62
24.169922,55.982,24.169922,55.889,24.169922,54.974,24.169922,55.052
24.536133,56.383,24.536133,56.294,24.536133,55.287,24.536133,55.452
24.902344,56.794,24.902344,56.616,24.902344,55.517,24.902344,55.773
25.268555,57.177,25.268555,56.859,25.268555,55.692,25.268555,56.009
25.634766,57.503,25.634766,57.074,25.634766,55.883,25.634766,56.183
26.000977,57.776,26.000977,57.338,26.000977,56.148,26.000977,56.334
26.367188,58.033,26.367188,57.707,26.367188,56.498,26.367188,56.491
26.733398,58.322,26.733398,58.167,26.733398,56.893,26.733398,56.671
27.099609,58.667,27.099609,58.639,27.099609,57.277,27.099609,56.887
27.46582,59.043,27.46582,59.03,27.46582,57.616,27.46582,57.156
27.832031,59.39,27.832031,59.282,27.832031,57.909,27.832031,57.496
28.198242,59.646,28.198242,59.395,28.198242,58.177,28.198242,57.899
28.564453,59.783,28.564453,59.433,28.564453,58.44,28.564453,58.325
28.930664,59.82,28.930664,59.494,28.930664,58.698,28.930664,58.718
29.296875,59.825,29.296875,59.653,29.296875,58.936,29.296875,59.034
29.663086,59.888,29.663086,59.913,29.663086,59.136,29.663086,59.264
30.029297,60.075,30.029297,60.208,30.029297,59.298,30.029297,59.436
30.395508,60.379,30.395508,60.474,30.395508,59.443,30.395508,59.598
30.761719,60.733,30.761719,60.689,30.761719,59.612,30.761719,59.791
31.12793,61.055,31.12793,60.886,31.12793,59.838,31.12793,60.024
31.494141,61.296,31.494141,61.113,31.494141,60.128,31.494141,60.277
31.860352,61.453,31.860352,61.391,31.860352,60.456,31.860352,60.523
32.226562,61.568,32.226562,61.69,32.226562,60.782,32.226562,60.751
32.592773,61.705,32.592773,61.961,32.592773,61.071,32.592773,60.967
32.958984,61.916,32.958984,62.171,32.958984,61.311,32.958984,61.186
33.325195,62.205,33.325195,62.332,33.325195,61.509,33.325195,61.418
33.691406,62.532,33.691406,62.481,33.691406,61.687,33.691406,61.655
34.057617,62.836,34.057617,62.658,34.057617,61.867,34.057617,61.881
34.423828,63.081,34.423828,62.87,34.423828,62.063,34.423828,62.084
34.790039,63.262,34.790039,63.093,34.790039,62.278,34.790039,62.263
35.15625,63.409,35.15625,63.298,35.15625,62.506,35.15625,62.429
35.522461,63.559,35.522461,63.478,35.522461,62.737,35.522461,62.598
35.888672,63.738,35.888672,63.648,35.888672,62.962,35.888672,62.78
36.254883,63.945,36.254883,63.832,36.254883,63.172,36.254883,62.978
36.621094,64.158,36.621094,64.037,36.621094,63.365,36.621094,63.186
36.987305,64.356,36.987305,64.249,36.987305,63.542,36.987305,63.394
37.353516,64.533,37.353516,64.446,37.353516,63.712,37.353516,63.594
37.719727,64.697,37.719727,64.619,37.719727,63.88,37.719727,63.783
38.085938,64.861,38.085938,64.775,38.085938,64.053,38.085938,63.96
38.452148,65.03,38.452148,64.934,38.452148,64.228,38.452148,64.127
38.818359,65.2,38.818359,65.107,38.818359,64.404,38.818359,64.29
39.18457,65.362,39.18457,65.291,39.18457,64.577,39.18457,64.452
39.550781,65.515,39.550781,65.472,39.550781,64.748,39.550781,64.616
39.916992,65.664,39.916992,65.636,39.916992,64.918,39.916992,64.781
40.283203,65.82,40.283203,65.784,40.283203,65.087,40.283203,64.946
40.649414,65.989,40.649414,65.927,40.649414,65.254,40.649414,65.108
41.015625,66.169,41.015625,66.076,41.015625,65.415,41.015625,65.268
41.381836,66.353,41.381836,66.234,41.381836,65.573,41.381836,65.426
41.748047,66.532,41.748047,66.397,41.748047,65.732,41.748047,65.586
42.114258,66.699,42.114258,66.556,42.114258,65.896,42.114258,65.746
42.480469,66.852,42.480469,66.707,42.480469,66.065,42.480469,65.904
42.84668,66.99,42.84668,66.854,42.84668,66.235,42.84668,66.06
43.212891,67.117,43.212891,67.003,43.212891,66.399,43.212891,66.213
43.579102,67.241,43.579102,67.155,43.579102,66.555,43.579102,66.362
43.945312,67.37,43.945312,67.309,43.945312,66.702,43.945312,66.509
44.311523,67.513,44.311523,67.459,44.311523,66.841,44.311523,66.651
44.677734,67.668,44.677734,67.6,44.677734,66.973,44.677734,66.786
45.043945,67.827,45.043945,67.733,45.043945,67.097,45.043945,66.919
45.410156,67.978,45.410156,67.863,45.410156,67.217,45.410156,67.057
45.776367,68.115,45.776367,67.997,45.776367,67.342,45.776367,67.208
46.142578,68.242,46.142578,68.141,46.142578,67.481,46.142578,67.374
46.508789,68.373,46.508789,68.296,46.508789,67.639,46.508789,67.549
46.875,68.519,46.875,68.456,46.875,67.807,46.875,67.717
47.241211,68.683,47.241211,68.612,47.241211,67.968,47.241211,67.864
47.607422,68.855,47.607422,68.755,47.607422,68.108,47.607422,67.986
47.973633,69.017,47.973633,68.881,47.973633,68.223,47.973633,68.088
48.339844,69.157,48.339844,68.994,48.339844,68.325,48.339844,68.186
48.706055,69.272,48.706055,69.101,48.706055,68.433,48.706055,68.292
49.072266,69.374,49.072266,69.211,49.072266,68.561,49.072266,68.41
49.438477,69.476,49.438477,69.331,49.438477,68.706,49.438477,68.537
49.804688,69.589,49.804688,69.463,49.804688,68.853,49.804688,68.664
50.170898,69.713,50.170898,69.603,50.170898,68.985,50.170898,68.786
50.537109,69.842,50.537109,69.742,50.537109,69.096,50.537109,68.906
50.90332,69.968,50.90332,69.875,50.90332,69.194,50.90332,69.028
51.269531,70.085,51.269531,69.997,51.269531,69.291,51.269531,69.153
51.635742,70.195,51.635742,70.11,51.635742,69.398,51.635742,69.28
52.001953,70.3,52.001953,70.217,52.001953,69.513,52.001953,69.402
52.368164,70.408,52.368164,70.325,52.368164,69.63,52.368164,69.517
52.734375,70.52,52.734375,70.437,52.734375,69.745,52.734375,69.625
53.100586,70.635,53.100586,70.554,53.100586,69.857,53.100586,69.733
53.466797,70.751,53.466797,70.672,53.466797,69.973,53.466797,69.843
53.833008,70.864,53.833008,70.788,53.833008,70.095,53.833008,69.957
54.199219,70.974,54.199219,70.898,54.199219,70.221,54.199219,70.07
54.56543,71.081,54.56543,71.001,54.56543,70.344,54.56543,70.18
54.931641,71.188,54.931641,71.1,54.931641,70.458,54.931641,70.284
55.297852,71.295,55.297852,71.199,55.297852,70.561,55.297852,70.387
55.664062,71.401,55.664062,71.301,55.664062,70.658,55.664062,70.49
56.030273,71.502,56.030273,71.404,56.030273,70.756,56.030273,70.598
56.396484,71.599,56.396484,71.508,56.396484,70.859,56.396484,70.709
56.762695,71.691,56.762695,71.611,56.762695,70.968,56.762695,70.82
57.128906,71.785,57.128906,71.713,57.128906,71.078,57.128906,70.93
57.495117,71.882,57.495117,71.816,57.495117,71.184,57.495117,71.038
57.861328,71.984,57.861328,71.921,57.861328,71.286,57.861328,71.145
58.227539,72.088,58.227539,72.029,58.227539,71.383,58.227539,71.25
58.59375,72.194,58.59375,72.138,58.59375,71.478,58.59375,71.355
58.959961,72.298,58.959961,72.244,58.959961,71.572,58.959961,71.458
59.326172,72.401,59.326172,72.348,59.326172,71.667,59.326172,71.558
59.692383,72.505,59.692383,72.447,59.692383,71.762,59.692383,71.655
60.058594,72.609,60.058594,72.543,60.058594,71.859,60.058594,71.749
60.424805,72.71,60.424805,72.637,60.424805,71.956,60.424805,71.843
60.791016,72.806,60.791016,72.729,60.791016,72.053,60.791016,71.935
61.157227,72.895,61.157227,72.821,61.157227,72.148,61.157227,72.028
61.523438,72.981,61.523438,72.911,61.523438,72.241,61.523438,72.121
61.889648,73.067,61.889648,73.001,61.889648,72.331,61.889648,72.214
62.255859,73.157,62.255859,73.092,62.255859,72.421,62.255859,72.305
62.62207,73.251,62.62207,73.184,62.62207,72.51,62.62207,72.396
62.988281,73.348,62.988281,73.275,62.988281,72.6,62.988281,72.483
63.354492,73.444,63.354492,73.364,63.354492,72.69,63.354492,72.569
63.720703,73.537,63.720703,73.452,63.720703,72.781,63.720703,72.654
64.086914,73.624,64.086914,73.537,64.086914,72.872,64.086914,72.74
64.453125,73.707,64.453125,73.622,64.453125,72.96,64.453125,72.831
64.819336,73.788,64.819336,73.707,64.819336,73.048,64.819336,72.924
65.185547,73.868,65.185547,73.793,65.185547,73.135,65.185547,73.019
65.551758,73.951,65.551758,73.88,65.551758,73.221,65.551758,73.111
65.917969,74.037,65.917969,73.966,65.917969,73.307,65.917969,73.198
66.28418,74.125,66.28418,74.052,66.28418,73.392,66.28418,73.28
66.650391,74.215,66.650391,74.135,66.650391,73.476,66.650391,73.359
67.016602,74.302,67.016602,74.218,67.016602,73.559,67.016602,73.438
67.382812,74.387,67.382812,74.301,67.382812,73.641,67.382812,73.519
67.749023,74.468,67.749023,74.385,67.749023,73.722,67.749023,73.602
68.115234,74.548,68.115234,74.469,68.115234,73.802,68.115234,73.687
68.481445,74.626,68.481445,74.551,68.481445,73.882,68.481445,73.77
68.847656,74.706,68.847656,74.631,68.847656,73.961,68.847656,73.851
69.213867,74.787,69.213867,74.707,69.213867,74.04,69.213867,73.929
69.580078,74.867,69.580078,74.782,69.580078,74.12,69.580078,74.007
69.946289,74.946,69.946289,74.858,69.946289,74.199,69.946289,74.084
70.3125,75.024,70.3125,74.935,70.3125,74.277,70.3125,74.161
70.678711,75.099,70.678711,75.012,70.678711,74.354,70.678711,74.237
71.044922,75.174,71.044922,75.089,71.044922,74.428,71.044922,74.313
71.411133,75.249,71.411133,75.164,71.411133,74.502,71.411133,74.388
71.777344,75.323,71.777344,75.236,71.777344,74.574,71.777344,74.463
72.143555,75.397,72.143555,75.309,72.143555,74.647,72.143555,74.539
72.509766,75.471,72.509766,75.382,72.509766,74.721,72.509766,74.615
72.875977,75.543,72.875977,75.457,72.875977,74.796,72.875977,74.69
73.242188,75.616,73.242188,75.533,73.242188,74.871,73.242188,74.763
73.608398,75.688,73.608398,75.607,73.608398,74.944,73.608398,74.834
73.974609,75.761,73.974609,75.68,73.974609,75.017,73.974609,74.903
74.34082,75.833,74.34082,75.751,74.34082,75.088,74.34082,74.972
74.707031,75.904,74.707031,75.82,74.707031,75.158,74.707031,75.042
75.073242,75.976,75.073242,75.889,75.073242,75.227,75.073242,75.113
75.439453,76.046,75.439453,75.958,75.439453,75.297,75.439453,75.186
75.805664,76.116,75.805664,76.027,75.805664,75.367,75.805664,75.26
76.171875,76.186,76.171875,76.095,76.171875,75.437,76.171875,75.334
76.538086,76.255,76.538086,76.163,76.538086,75.507,76.538086,75.406
76.904297,76.324,76.904297,76.232,76.904297,75.576,76.904297,75.476
77.270508,76.393,77.270508,76.302,77.270508,75.645,77.270508,75.543
77.636719,76.461,77.636719,76.373,77.636719,75.713,77.636719,75.609
78.00293,76.527,78.00293,76.443,78.00293,75.782,78.00293,75.674
78.369141,76.593,78.369141,76.51,78.369141,75.851,78.369141,75.738
78.735352,76.657,78.735352,76.574,78.735352,75.918,78.735352,75.804
79.101562,76.721,79.101562,76.635,79.101562,75.984,79.101562,75.87
79.467773,76.785,79.467773,76.695,79.467773,76.048,79.467773,75.936
79.833984,76.849,79.833984,76.755,79.833984,76.11,79.833984,76.002
80.200195,76.913,80.200195,76.817,80.200195,76.172,80.200195,76.066
80.566406,76.976,80.566406,76.882,80.566406,76.235,80.566406,76.13
80.932617,77.039,80.932617,76.947,80.932617,76.298,80.932617,76.195
81.298828,77.1,81.298828,77.013,81.298828,76.362,81.298828,76.26
81.665039,77.162,81.665039,77.078,81.665039,76.425,81.665039,76.326
82.03125,77.222,82.03125,77.141,82.03125,76.486,82.03125,76.391
82.397461,77.283,82.397461,77.202,82.397461,76.546,82.397461,76.454
82.763672,77.344,82.763672,77.261,82.763672,76.606,82.763672,76.515
83.129883,77.406,83.129883,77.32,83.129883,76.666,83.129883,76.575
83.496094,77.468,83.496094,77.378,83.496094,76.728,83.496094,76.635
83.862305,77.53,83.862305,77.437,83.862305,76.791,83.862305,76.694
84.228516,77.591,84.228516,77.497,84.228516,76.855,84.228516,76.754
84.594727,77.65,84.594727,77.557,84.594727,76.917,84.594727,76.813
84.960938,77.708,84.960938,77.618,84.960938,76.976,84.960938,76.872
85.327148,77.764,85.327148,77.677,85.327148,77.034,85.327148,76.93
85.693359,77.821,85.693359,77.736,85.693359,77.092,85.693359,76.989
86.05957,77.877,86.05957,77.793,86.05957,77.149,86.05957,77.049
86.425781,77.934,86.425781,77.85,86.425781,77.207,86.425781,77.108
86.791992,77.991,86.791992,77.906,86.791992,77.266,86.791992,77.166
87.158203,78.047,87.158203,77.962,87.158203,77.323,87.158203,77.223
87.524414,78.102,87.524414,78.019,87.524414,77.38,87.524414,77.278
87.890625,78.158,87.890625,78.075,87.890625,77.435,87.890625,77.332
88.256836,78.213,88.256836,78.131,88.256836,77.49,88.256836,77.386
88.623047,78.271,88.623047,78.186,88.623047,77.545,88.623047,77.441
88.989258,78.329,88.989258,78.242,88.989258,77.6,88.989258,77.496
89.355469,78.389,89.355469,78.298,89.355469,77.656,89.355469,77.553
89.72168,78.447,89.72168,78.354,89.72168,77.712,89.72168,77.61
90.087891,78.503,90.087891,78.409,90.087891,77.767,90.087891,77.667
90.454102,78.557,90.454102,78.463,90.454102,77.822,90.454102,77.723
90.820312,78.609,90.820312,78.516,90.820312,77.876,90.820312,77.778
91.186523,78.66,91.186523,78.567,91.186523,77.93,91.186523,77.831
91.552734,78.711,91.552734,78.618,91.552734,77.985,91.552734,77.884
91.918945,78.763,91.918945,78.669,91.918945,78.041,91.918945,77.936
92.285156,78.815,92.285156,78.72,92.285156,78.098,92.285156,77.989
92.651367,78.867,92.651367,78.772,92.651367,78.154,92.651367,78.043
93.017578,78.919,93.017578,78.824,93.017578,78.208,93.017578,78.097
93.383789,78.971,93.383789,78.875,93.383789,78.26,93.383789,78.151
93.75,79.021,93.75,78.926,93.75,78.309,93.75,78.204
94.116211,79.072,94.116211,78.978,94.116211,78.356,94.116211,78.254
94.482422,79.122,94.482422,79.029,94.482422,78.403,94.482422,78.303
94.848633,79.171,94.848633,79.081,94.848633,78.45,94.848633,78.352
95.214844,79.22,95.214844,79.133,95.214844,78.498,95.214844,78.403
95.581055,79.269,95.581055,79.184,95.581055,78.547,95.581055,78.454
95.947266,79.317,95.947266,79.235,95.947266,78.596,95.947266,78.505
96.313477,79.366,96.313477,79.284,96.313477,78.645,96.313477,78.556
