d3_l10,,d3_l15,,d3_l20,,,,,
Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),,,,
20.141602,51.602,20.141602,51.647,20.141602,51.886,,,,
20.507812,51.955,20.507812,52.045,20.507812,52.284,,,,
20.874023,52.331,20.874023,52.39,20.874023,52.656,,,,
21.240234,52.712,21.240234,52.688,21.240234,52.98,,,,
21.606445,53.097,21.606445,53.015,21.606445,53.292,,,,
21.972656,53.474,21.972656,53.413,21.972656,53.636,,,,
22.338867,53.835,22.338867,53.848,22.338867,54.038,,,,
22.705078,54.19,22.705078,54.232,22.705078,54.481,,,,
23.071289,54.564,23.071289,54.492,23.071289,54.917,,,,
23.4375,54.981,23.4375,54.635,23.4375,55.288,,,,
23.803711,55.435,23.803711,54.764,23.803711,55.561,,,,
24.169922,55.889,24.169922,55.031,24.169922,55.741,,,,
24.536133,56.294,24.536133,55.51,24.536133,55.884,,,,
24.902344,56.616,24.902344,56.115,24.902344,56.076,,,,
25.268555,56.859,25.268555,56.68,25.268555,56.389,,,,
25.634766,57.074,25.634766,57.083,25.634766,56.827,,,,
26.000977,57.338,26.000977,57.305,26.000977,57.319,,,,
26.367188,57.707,26.367188,57.429,26.367188,57.773,,,,
26.733398,58.167,26.733398,57.591,26.733398,58.133,,,,
27.099609,58.639,27.099609,57.887,27.099609,58.404,,,,
27.46582,59.03,27.46582,58.285,27.46582,58.638,,,,
27.832031,59.282,27.832031,58.662,27.832031,58.902,,,,
28.198242,59.395,28.198242,58.904,28.198242,59.226,,,,
28.564453,59.433,28.564453,58.983,28.564453,59.583,,,,
28.930664,59.494,28.930664,58.973,28.930664,59.911,,,,
29.296875,59.653,29.296875,59.018,29.296875,60.162,,,,
29.663086,59.913,29.663086,59.235,29.663086,60.333,,,,
30.029297,60.208,30.029297,59.617,30.029297,60.466,,,,
30.395508,60.474,30.395508,60.05,30.395508,60.62,,,,
30.761719,60.689,30.761719,60.422,30.761719,60.831,,,,
31.12793,60.886,31.12793,60.698,31.12793,61.093,,,,
31.494141,61.113,31.494141,60.922,31.494141,61.363,,,,
31.860352,61.391,31.860352,61.165,31.860352,61.601,,,,
32.226562,61.69,32.226562,61.467,32.226562,61.794,,,,
32.592773,61.961,32.592773,61.8,32.592773,61.963,,,,
32.958984,62.171,32.958984,62.1,32.958984,62.14,,,,
33.325195,62.332,33.325195,62.318,33.325195,62.35,,,,
33.691406,62.481,33.691406,62.453,33.691406,62.591,,,,
34.057617,62.658,34.057617,62.552,34.057617,62.841,,,,
34.423828,62.87,34.423828,62.67,34.423828,63.077,,,,
34.790039,63.093,34.790039,62.843,34.790039,63.284,,,,
35.15625,63.298,35.15625,63.057,35.15625,63.466,,,,
35.522461,63.478,35.522461,63.278,35.522461,63.636,,,,
35.888672,63.648,35.888672,63.476,35.888672,63.804,,,,
36.254883,63.832,36.254883,63.647,36.254883,63.976,,,,
36.621094,64.037,36.621094,63.809,36.621094,64.152,,,,
36.987305,64.249,36.987305,63.982,36.987305,64.33,,,,
37.353516,64.446,37.353516,64.171,37.353516,64.513,,,,
37.719727,64.619,37.719727,64.364,37.719727,64.704,,,,
38.085938,64.775,38.085938,64.547,38.085938,64.9,,,,
38.452148,64.934,38.452148,64.711,38.452148,65.094,,,,
38.818359,65.107,38.818359,64.864,38.818359,65.277,,,,
39.18457,65.291,39.18457,65.02,39.18457,65.445,,,,
39.550781,65.472,39.550781,65.188,39.550781,65.602,,,,
39.916992,65.636,39.916992,65.37,39.916992,65.756,,,,
40.283203,65.784,40.283203,65.555,40.283203,65.913,,,,
40.649414,65.927,40.649414,65.733,40.649414,66.074,,,,
41.015625,66.076,41.015625,65.896,41.015625,66.23,,,,
41.381836,66.234,41.381836,66.047,41.381836,66.375,,,,
41.748047,66.397,41.748047,66.191,41.748047,66.513,,,,
42.114258,66.556,42.114258,66.337,42.114258,66.653,,,,
42.480469,66.707,42.480469,66.49,42.480469,66.806,,,,
42.84668,66.854,42.84668,66.647,42.84668,66.974,,,,
43.212891,67.003,43.212891,66.804,43.212891,67.149,,,,
43.579102,67.155,43.579102,66.955,43.579102,67.317,,,,
43.945312,67.309,43.945312,67.099,43.945312,67.471,,,,
44.311523,67.459,44.311523,67.24,44.311523,67.61,,,,
44.677734,67.6,44.677734,67.381,44.677734,67.742,,,,
45.043945,67.733,45.043945,67.528,45.043945,67.874,,,,
45.410156,67.863,45.410156,67.678,45.410156,68.006,,,,
45.776367,67.997,45.776367,67.828,45.776367,68.135,,,,
46.142578,68.141,46.142578,67.97,46.142578,68.261,,,,
46.508789,68.296,46.508789,68.104,46.508789,68.387,,,,
46.875,68.456,46.875,68.23,46.875,68.52,,,,
47.241211,68.612,47.241211,68.351,47.241211,68.665,,,,
47.607422,68.755,47.607422,68.473,47.607422,68.817,,,,
47.973633,68.881,47.973633,68.599,47.973633,68.967,,,,
48.339844,68.994,48.339844,68.731,48.339844,69.105,,,,
48.706055,69.101,48.706055,68.867,48.706055,69.227,,,,
49.072266,69.211,49.072266,69.007,49.072266,69.338,,,,
49.438477,69.331,49.438477,69.148,49.438477,69.447,,,,
49.804688,69.463,49.804688,69.287,49.804688,69.561,,,,
50.170898,69.603,50.170898,69.421,50.170898,69.682,,,,
50.537109,69.742,50.537109,69.547,50.537109,69.809,,,,
50.90332,69.875,50.90332,69.666,50.90332,69.939,,,,
51.269531,69.997,51.269531,69.781,51.269531,70.07,,,,
51.635742,70.11,51.635742,69.892,51.635742,70.204,,,,
